listing_url,room_type,price,availability_30,availability_60,availability_90,availability_365
https://www.airbnb.com/rooms/53344884,Entire home/apt,3500,30,60,90,365
https://www.airbnb.com/rooms/7801456,Entire home/apt,5000,30,60,90,365
https://www.airbnb.com/rooms/14333905,Entire home/apt,681,30,60,90,365
https://www.airbnb.com/rooms/44708736,Entire home/apt,8999,30,60,90,179
https://www.airbnb.com/rooms/35351763,Entire home/apt,500,30,60,90,179
https://www.airbnb.com/rooms/53042498,Entire home/apt,180,3,30,60,334
https://www.airbnb.com/rooms/48227858,Entire home/apt,200,21,51,81,356
https://www.airbnb.com/rooms/699421066162239071,Entire home/apt,571,30,60,90,362
https://www.airbnb.com/rooms/47879942,Entire home/apt,196,19,43,71,71
https://www.airbnb.com/rooms/703831579632856836,Entire home/apt,258,16,43,57,276
https://www.airbnb.com/rooms/675101483027667961,Private room,76,30,60,90,179
https://www.airbnb.com/rooms/36306164,Entire home/apt,636,27,57,87,353
https://www.airbnb.com/rooms/33331421,Private room,150,30,60,89,89
https://www.airbnb.com/rooms/47200288,Entire home/apt,8000,30,60,90,365
https://www.airbnb.com/rooms/690602232600474303,Entire home/apt,587,5,15,38,38
https://www.airbnb.com/rooms/53383999,Private room,1000,0,0,0,30
https://www.airbnb.com/rooms/41396858,Entire home/apt,229,0,0,0,0
https://www.airbnb.com/rooms/46246165,Entire home/apt,293,0,0,0,5
https://www.airbnb.com/rooms/42362930,Entire home/apt,110,14,44,67,333
https://www.airbnb.com/rooms/551530378555017887,Private room,401,0,0,0,0
https://www.airbnb.com/rooms/7100364,Entire home/apt,340,18,36,66,331
https://www.airbnb.com/rooms/2935539,Entire home/apt,289,13,29,59,60
https://www.airbnb.com/rooms/551777888954965782,Private room,401,0,0,0,0
https://www.airbnb.com/rooms/1174007,Private room,107,21,49,77,338
https://www.airbnb.com/rooms/14233530,Entire home/apt,1600,21,43,73,295
https://www.airbnb.com/rooms/43175973,Entire home/apt,80,30,60,90,365
https://www.airbnb.com/rooms/18696979,Entire home/apt,800,29,59,89,364
https://www.airbnb.com/rooms/834046,Entire home/apt,199,8,21,45,94
https://www.airbnb.com/rooms/53970149,Entire home/apt,5000,30,60,90,365
https://www.airbnb.com/rooms/8410797,Private room,1000,27,57,87,362
https://www.airbnb.com/rooms/12080661,Entire home/apt,2500,30,60,90,365
https://www.airbnb.com/rooms/12265728,Entire home/apt,170,0,5,35,271
https://www.airbnb.com/rooms/708527864365650681,Private room,192,0,0,19,19
https://www.airbnb.com/rooms/17878,Entire home/apt,246,4,19,49,306
https://www.airbnb.com/rooms/317402,Entire home/apt,474,30,60,90,365
https://www.airbnb.com/rooms/7220985,Entire home/apt,312,13,35,65,332
https://www.airbnb.com/rooms/28053241,Private room,1850,30,60,90,180
https://www.airbnb.com/rooms/3496498,Entire home/apt,298,13,36,45,244
https://www.airbnb.com/rooms/24480,Entire home/apt,671,29,59,88,359
https://www.airbnb.com/rooms/25026,Entire home/apt,188,0,0,20,181
https://www.airbnb.com/rooms/47936440,Private room,820,13,38,66,251
https://www.airbnb.com/rooms/54105085,Entire home/apt,300,28,58,88,363
https://www.airbnb.com/rooms/35764,Entire home/apt,180,0,0,0,0
https://www.airbnb.com/rooms/2370166,Entire home/apt,440,0,0,1,145
https://www.airbnb.com/rooms/40633605,Entire home/apt,9301,30,60,90,365
https://www.airbnb.com/rooms/11174621,Entire home/apt,619,30,60,90,365
https://www.airbnb.com/rooms/48305,Entire home/apt,1636,21,31,52,321
https://www.airbnb.com/rooms/13002615,Entire home/apt,300,23,53,83,358
https://www.airbnb.com/rooms/48726,Private room,100,0,0,0,0
https://www.airbnb.com/rooms/48901,Entire home/apt,872,0,0,2,235
https://www.airbnb.com/rooms/49244916,Entire home/apt,3186,30,60,90,149
https://www.airbnb.com/rooms/34966167,Entire home/apt,105,30,60,90,365
https://www.airbnb.com/rooms/49246001,Entire home/apt,5900,30,60,90,149
https://www.airbnb.com/rooms/49179,Entire home/apt,190,3,3,24,180
https://www.airbnb.com/rooms/6991490,Private room,400,29,59,89,356
https://www.airbnb.com/rooms/50759,Entire home/apt,3050,25,55,85,350
https://www.airbnb.com/rooms/13605170,Entire home/apt,109,10,26,56,56
https://www.airbnb.com/rooms/581017381015650161,Entire home/apt,2500,30,60,90,363
https://www.airbnb.com/rooms/16380608,Entire home/apt,250,15,45,75,350
